be,być,was were,been
have,mieć,had,had
do,zrobić,did,done
would,by,,
will,będzie,would,-
can,mogą,could,couth
know,wiedzieć,knew,known
see,widzieć,saw,seen
may,może,might,-
should,powinien,,
get,otrzymać,got,got
think,myśleć,thought,thought
go,udać się,went,gone
're,'re,,
make,robić,made,made
must,musi,,
take,brać,took,taken
come,chodź,came,come
say,mówić,said,said
put,położyć,put,put
want,chcieć,wanted,wanted
give,dać,gave,given
look,Popatrz,looked,looked
find,odnaleźć,found,found
need,potrzeba,needed,needed
like,lubić,liked,liked
set,zestaw,set,set
use,posługiwać się,used,used
become,stają się,became,become
tell,powiedzieć,told,told
keep,trzymać,kept,kept
help,Wsparcie,helped,helped
work,praca,worked,worked
let,pozwolić,let,let
feel,czuć,felt,felt
provide,zapewniać,provided,provided
believe,uwierzyć,believed,believed
try,próbować,tried,tried
shall,powinien,should,-
ask,zapytać,asked,asked
remember,Zapamiętaj,remembered,remembered
leave,pozostawiać,left,left
show,pokazać,showed,shown
pay,zapłacić,paid,paid
run,biegać,ran,run
read,czytać,read,read
seem,wydać się,seemed,seemed
include,zawierać,included,included
bring,przynieść,brought,brought
understand,Rozumiesz,understood,understood
start,początek,started,started
play,grać,played,played
cut,ciąć,cut,cut
live,relacja na żywo,lived,lived
meet,spotykać się,met,met
move,ruszaj się,moved,moved
hear,słyszeć,heard,heard
call,połączenie,called,called
stop,zatrzymać,stopped,stopped
turn,skręcać,turned,turned
talk,rozmowa,talked,talked
buy,kupować,bought,bought
thank,podziękować,thanked,thanked
change,zmiana,changed,changed
continue,dalej,continued,continued
consider,rozważać,considered,considered
allow,dopuszczać,allowed,allowed
hope,nadzieja,hoped,hoped
produce,produkować,produced,produced
stay,zostać,stayed,stayed
appear,zjawić się,appeared,appeared
write,pisać,wrote,written
hold,utrzymać,held,held
expect,oczekiwać,expected,expected
ensure,zapewnić,ensured,ensured
suppose,przypuszczać,supposed,supposed
wish,życzenie,wished,wished
carry,nieść,carried,carried
follow,śledzić,followed,followed
offer,oferta,offered,offered
support,wsparcie,supported,supported
accept,zaakceptować,accepted,accepted
speak,mówić,spoke,spoken
lead,prowadzić,leaded,leaded
remain,pozostawać,remained,remained
stand,stoisko,stood,stood
suggest,sugerować,suggested,suggested
hit,trafienie,hit,hit
develop,rozwijać,developed,developed
happen,zdarzyć,happened,happened
sit,siedzieć,sat,sat
win,zdobyć,won,won
love,miłość,loved,loved
add,Dodaj,added,added
learn,uczyć się,learned,learned
create,Stwórz,created,created
let's,Let's,,
agree,Zgodzić się,agreed,agreed
apply,zastosować,applied,applied
wait,czekać,waited,waited
avoid,uniknąć,avoided,avoided
send,wysłać,sent,sent
form,Formularz,formed,formed
explain,wyjaśniać,explained,explained
return,powrót,returned,returned
sell,Sprzedać,sold,sold
receive,otrzymać,received,received
open,otwarty,opened,opened
begin,zaczynać,began,begun
eat,jeść,ate,eaten
increase,zwiększać,increased,increased
voice,głos,voiced,voiced
spend,wydać,spent,spent
join,Przystąpić,joined,joined
reduce,zmniejszyć,reduced,reduced
save,zapisać,saved,saved
require,wymagać,required,required
fall,spadek,fell,fallen
mind,umysł,minded,minded
build,budować,built,built
achieve,osiągać,achieved,achieved
choose,wybierać,chose,chosen
prevent,zapobiec,prevented,prevented
reach,dosięgnąć,reached,reached
decide,decydować się,decided,decided
deal,sprawa,dealt,dealt
face,Twarz,faced,faced
enjoy,cieszyć się,enjoyed,enjoyed
watch,zegarek,watched,watched
lose,stracić,lost,lost
walk,spacerować,walked,walked
cover,pokrywa,covered,covered
improve,ulepszać,improved,improved
tend,zmierzać,tended,tended
raise,podnieść,raised,raised
draw,rysować,drew,drawn
forget,zapomnieć,forgot,forgotten
imagine,wyobrażać sobie,imagined,imagined
act,działać,acted,acted
pick,wybierać,picked,picked
cause,przyczyna,caused,caused
cost,koszt,cost,cost
pass,przechodzić,passed,passed
break,przerwa,broke,broken
prove,okazać się,proved,proved
occur,pojawić się,occurred,occurred
discuss,omawiać,discussed,discussed
listen,słuchać,listened,listened
maintain,utrzymać,maintained,maintained
end,koniec,ended,ended
exist,istnieć,existed,existed
seek,szukać,sought,sought
grow,rosnąć,grew,grown
check,czek,checked,checked
serve,obsługiwać,served,served
share,dzielić,shared,shared
establish,ustalić,established,established
enter,wchodzić,entered,entered
control,kontrola,controlled,controlled
die,umierać,died,died
encourage,zachęcać,encouraged,encouraged
answer,odpowiedź,answered,answered
protect,ochraniać,protected,protected
identify,zidentyfikować,identified,identified
visit,odwiedzić,visited,visited
care,opieka,cared,cared
enable,włączyć,enabled,enabled
affect,oddziaływać,affected,affected
claim,roszczenie,claimed,claimed
note,Uwaga,noted,noted
obtain,uzyskać,obtained,obtained
represent,przedstawiać,represented,represented
contain,zawierać,contained,contained
beat,bić,beat,beaten
spread,rozpiętość,spread,spread
worry,martwić się,worried,worried
bear,Niedźwiedź,beared,beared
shut,zamknąć,shut,shut
wonder,cud,wondered,wondered
afford,pozwolić sobie,afforded,afforded
fit,dopasowanie,fitted,fitted
kill,zabić,killed,killed
regard,wzgląd,regarded,regarded
describe,opisać,described,described
place,miejsce,placed,placed
drive,napęd,drove,driven
wear,nosić,wore,worn
argue,kłócić się,argued,argued
involve,angażować,involved,involved
lie,kłamstwo,lay,lain
contact,kontakt,contacted,contacted
catch,łapać,caught,caught
assume,założyć,assumed,assumed
indicate,wskazać,indicated,indicated
operate,działać,operated,operated
manage,zarządzanie,managed,managed
cope,sprostać,coped,coped
remove,usunąć,removed,removed
determine,ustalać,determined,determined
fight,walka,fought,fought
pull,Ciągnąć,pulled,pulled
realise,realizować,realised,realised
reflect,odzwierciedlić,reflected,reflected
fill,napełnić,filled,filled
refer,odnosić się,referred,referred
gain,zdobyć,gained,gained
examine,zbadać,examined,examined
prefer,woleć,preferred,preferred
travel,podróżować,travelled,travelled
admit,przyznać,admitted,admitted
recognise,rozpoznać,recognised,recognised
attend,uczęszczać,attended,attended
hurt,ból,hurt,hurt
respond,odpowiadać,responded,responded
sleep,sen,slept,slept
introduce,przedstawiać,introduced,introduced
depend,zależeć,depended,depended
survive,przetrwać,survived,survived
suffer,ponieść,suffered,suffered
notice,ogłoszenie,noticed,noticed
close,blisko,closed,closed
result,wynik,resulted,resulted
replace,zastąpić,replaced,replaced
complete,kompletny,completed,completed
miss,tęsknić,missed,missed
rise,wzrost,rose,risen
present,obecny,presented,presented
arise,powstać,arose,arisen
point,punkt,pointed,pointed
fail,zawieść,failed,failed
promote,promować,promoted,promoted
perform,wykonać,performed,performed
discover,odkryć,discovered,discovered
express,wyrazić,expressed,expressed
extend,poszerzać,extended,extended
drink,drink,drank,drunk
mention,wzmianka,mentioned,mentioned
vary,różnią się,varied,varied
concentrate,koncentrować,concentrated,concentrated
benefit,zasiłek,benefited,benefited
treat,leczyć,treated,treated
hang,powiesić,hung,hung
throw,rzucać,threw,thrown
prepare,przygotować,prepared,prepared
drop,upuszczać,dropped,dropped
study,badanie,studied,studied
push,Pchać,pushed,pushed
press,naciśnij,pressed,pressed
report,raport,reported,reported
cast,odlew,cast,cast
arrive,przybyć,arrived,arrived
sound,dźwięk,sounded,sounded
finish,koniec,finished,finished
ring,pierścień,ringed,ringed
test,test,tested,tested
secure,bezpieczne,secured,secured
collect,zebrać,collected,collected
escape,ucieczka,escaped,escaped
teach,nauczać,taught,taught
last,ostatni ubiegły zeszły,lasted,lasted
welcome,Witamy,welcomed,welcomed
rely,polegać,relied,relied
trust,zaufanie,trusted,trusted
match,mecz,matched,matched
assess,oszacować,assessed,assessed
contribute,przyczynić się,contributed,contributed
repeat,powtarzać,repeated,repeated
supply,Dostawa,supplied,supplied
wan,blady,,
plan,plan,planned,planned
reveal,odsłonić,revealed,revealed
state,stan,stated,stated
confirm,potwierdzać,confirmed,confirmed
appreciate,doceniać,appreciated,appreciated
hate,nienawidzić,hated,hated
relate,odnosić się,related,related
overcome,przezwyciężać,overcame,overcome
rid,pozbyć się,rid,rid
marry,ożenić,married,married
attempt,próba,attempted,attempted
retain,zachować,retained,retained
handle,uchwyt,handled,handled
attract,pociągać,attracted,attracted
assist,wspierać,assisted,assisted
influence,wpływ,influenced,influenced
mark,znak,marked,marked
split,rozdzielać,split,split
experience,doświadczenie,experienced,experienced
recall,odwołanie,recalled,recalled
adopt,przyjąć,adopted,adopted
sign,znak,signed,signed
touch,dotknąć,touched,touched
fear,strach,feared,feared
stick,kij,sticked,sticked
settle,rozstrzygać,settled,settled
ignore,ignorować,ignored,ignored
compare,porównać,compared,compared
define,definiować,defined,defined
exercise,ćwiczenie,exercised,exercised
demonstrate,wykazać,demonstrated,demonstrated
account,konto,accounted,accounted
persuade,namawiać,persuaded,persuaded
investigate,zbadać,investigated,investigated
clear,jasny,cleared,cleared
guess,odgadnąć,guessed,guessed
record,rekord,recorded,recorded
vote,głosować,voted,voted
explore,badać,explored,explored
blame,winić,blamed,blamed
arrange,zorganizować,arranged,arranged
cross,krzyż,crossed,crossed
deny,zaprzeczać,denied,denied
realize,realizować,realized,realized
hide,ukryć,hid,hidden
focus,skupiać,focused,focused
deliver,dostarczyć,delivered,delivered
proceed,kontynuować,proceeded,proceeded
succeed,osiągnąć sukces,succeeded,succeeded
bother,zawracać głowę,bothered,bothered
refuse,odrzucać,refused,refused
force,siła,forced,forced
demand,żądanie,demanded,demanded
recognize,rozpoznać,recognized,recognized
count,liczyć,counted,counted
doubt,wątpić,doubted,doubted
reckon,liczyć się,reckoned,reckoned
belong,należeć,belonged,belonged
emerge,pojawić się,emerged,emerged
sing,śpiewać,sang,sung
intend,zamierzać,intended,intended
justify,uzasadniać,justified,justified
in,w,inned,inned
advise,doradzać,advised,advised
defend,bronić,defended,defended
laugh,śmiech,laughed,laughed
dare,odważyć się,dared,dared
acquire,nabyć,acquired,acquired
recover,wyzdrowieć,recovered,recovered
generate,Generować,generated,generated
distinguish,rozróżniać,distinguished,distinguished
suspect,posądzać,suspected,suspected
earn,zarabiać,earned,earned
finance,finanse,financed,financed
bet,Zakład,bet,bet
destroy,zniszczyć,destroyed,destroyed
rest,odpoczynek,rested,rested
judge,sędzia,judged,judged
pursue,kontynuować,pursued,pursued
comment,komentarz,commented,commented
satisfy,usatysfakcjonować,satisfied,satisfied
compete,rywalizować,competed,competed
resist,opierać się,resisted,resisted
suit,garnitur,suited,suited
address,adres,addressed,addressed
solve,rozwiązać,solved,solved
lift,winda,lifted,lifted
alter,zmieniać,altered,altered
impose,narzucać,imposed,imposed
display,pokaz,displayed,displayed
appeal,apel,appealed,appealed
release,wydanie,released,released
sort,sortować,sorted,sorted
differ,różnić się,differed,differed
select,Wybierz,selected,selected
measure,zmierzyć,measured,measured
recommend,polecić,recommended,recommended
order,zamówienie,ordered,ordered
transfer,transfer,transferred,transferred
attack,atak,attacked,attacked
expand,rozszerzać,expanded,expanded
roll,rolka,rolled,rolled
burst,rozerwanie,burst,burst
undertake,podjąć,undertook,undertaken
relax,zrelaksować się,relaxed,relaxed
participate,uczestniczyć,participated,participated
of,z,,
behave,zachować się,behaved,behaved
strike,strajk,struck,struck
remind,przypominać,reminded,reminded
review,przejrzeć,reviewed,reviewed
approach,podejście,approached,approached
employ,zatrudniać,employed,employed
restore,przywracać,restored,restored
wash,myć się,washed,washed
observe,przestrzegać,observed,observed
combine,połączyć,combined,combined
insist,obstawać,insisted,insisted
issue,kwestia,issued,issued
ride,jazda,rode,ridden
constitute,stanowić,constituted,constituted
jump,skok,jumped,jumped
cook,gotować,cooked,cooked
switch,przełącznik,switched,switched
train,pociąg,trained,trained
cry,płakać,cried,cried
clean,czysty,cleaned,cleaned
invest,inwestować,invested,invested
step,krok,stepped,stepped
limit,limit,limited,limited
illustrate,zilustrować,illustrated,illustrated
own,posiadać,owned,owned
tackle,sprzęt,tackled,tackled
challenge,wyzwanie,challenged,challenged
view,widok,viewed,viewed
withdraw,wycofać,withdrew,withdrawn
possess,posiadać,possessed,possessed
communicate,komunikować się,communicated,communicated
climb,wspinać się,climbed,climbed
gather,zbierać,gathered,gathered
separate,oddzielny,separated,separated
preserve,zachować,preserved,preserved
implement,wprowadzić w życie,implemented,implemented
shift,przesunięcie,shifted,shifted
resolve,rozwiązać,resolved,resolved
reject,odrzucać,rejected,rejected
inform,poinformować,informed,informed
imply,sugerować,implied,implied
acknowledge,uznać,acknowledged,acknowledged
conclude,wyciągnąć wniosek,concluded,concluded
shoot,strzelać,shot,shot
guarantee,gwarancja,guaranteed,guaranteed
comply,zastosować się,complied,complied
borrow,pożyczać,borrowed,borrowed
question,pytanie,questioned,questioned
promise,obietnica,promised,promised
enhance,wzmacniać,enhanced,enhanced
monitor,monitor,monitored,monitored
risk,ryzyko,risked,risked
permit,pozwolić,permitted,permitted
purchase,zakup,purchased,purchased
propose,zaproponować,proposed,proposed
celebrate,świętować,celebrated,celebrated
charge,opłata,charged,charged
research,Badania,researched,researched
aim,cel,aimed,aimed
accommodate,pomieścić,accommodated,accommodated
phone,telefon,phoned,phoned
waste,marnotrawstwo,wasted,wasted
dance,taniec,danced,danced
wake,budzić,woke,woken
pray,modlić się,prayed,prayed
disappear,znikać,disappeared,disappeared
telephone,telefon,telephoned,telephoned
predict,przepowiadać wywróżyć,predicted,predicted
score,wynik,scored,scored
slip,poślizg,slipped,slipped
commit,popełnić,committed,committed
complain,skarżyć się,complained,complained
detect,wykryć,detected,detected
exclude,wykluczać,excluded,excluded
excuse,pretekst,excused,excused
interpret,interpretować,interpreted,interpreted
publish,publikować,published,published
link,połączyć,linked,linked
forgive,przebaczyć,forgave,forgiven
negotiate,negocjować,negotiated,negotiated
analyse,analizować,analysed,analysed
name,Nazwa,named,named
stretch,rozciągać,stretched,stretched
upset,zdenerwowany,upset,upset
qualify,zakwalifikować,qualified,qualified
damage,uszkodzić,damaged,damaged
launch,uruchomić,launched,launched
paint,farba,painted,painted
specify,sprecyzować,specified,specified
grant,dotacja,granted,granted
lend,wypożyczać,lent,lent
construct,zbudować,constructed,constructed
react,reagować,reacted,reacted
organise,zorganizować,organised,organised
deserve,zasłużyć,deserved,deserved
head,głowa,headed,headed
direct,bezpośredni,directed,directed
land,wylądować,landed,landed
conduct,postępek,conducted,conducted
sustain,ponieść,sustained,sustained
submit,Zatwierdź,submitted,submitted
consist,składać się,consisted,consisted
blow,cios,blew,blown
mix,mieszać,mixed,mixed
guide,przewodnik,guided,guided
owe,zawdzięczać,owed,owed
convince,przekonać,convinced,convinced
practise,ćwiczyć,practised,practised
strengthen,wzmacniać,strengthened,strengthened
knock,pukanie,knocked,knocked
invite,Zapraszam,invited,invited
burn,palić się,burned,burned
abandon,porzucić,abandoned,abandoned
reply,Odpowiadać,replied,replied
shake,potrząsnąć,shook,shaken
fix,naprawić,fixt,fixt
pretend,stwarzać pozory,pretended,pretended
consult,konsultować,consulted,consulted
divide,podzielić,divided,divided
engage,angażować,engaged,engaged
search,Szukaj,searched,searched
fulfil,spełnić,fulfilled,fulfilled
exploit,wykorzystać,exploited,exploited
rule,reguła,ruled,ruled
process,proces,processed,processed
fetch,sprowadzać,fetched,fetched
convey,przenieść,conveyed,conveyed
shed,budka,shed,shed
market,rynek,marketed,marketed
fancy,fantazyjny,fancied,fancied
smoke,palić,smoked,smoked
smell,zapach,smelled,smelled
thrust,nacisk,thrust,thrust
incorporate,włączać,incorporated,incorporated
restrict,ograniczać,restricted,restricted
warn,ostrzec,warned,warned
eliminate,wyeliminować,eliminated,eliminated
kiss,pocałunek,kissed,kissed
