abandon,porzucić
ability,umiejętność
able,zdolny
abortion,poronienie
about,o
above,powyżej
abroad,za granicą
absence,brak
absolute,absolutny
absolutely,absolutnie
absorb,absorbować
abuse,nadużycie
academic,akademicki
accept,zaakceptować
access,dostęp
accident,wypadek
accompany,towarzyszyć
accomplish,ukończyć
according,według
account,konto
accurate,dokładny
accuse,oskarżać
achieve,osiągać
achievement,osiągnięcie
acid,kwas
acknowledge,uznać
acquire,nabyć
across,przez
act,działać
action,akcja
active,aktywny
activist,aktywista
activity,czynność
actor,aktor
actress,aktorka
actual,rzeczywisty
actually,tak właściwie
ad,ogłoszenie
adapt,przystosować się
add,Dodaj
addition,dodanie
additional,dodatkowy
address,adres
adequate,odpowiedni
adjust,dostosować
adjustment,dostosowanie
administration,administracja
administrator,administrator
admire,podziwiać
admission,wstęp
admit,przyznać
adolescent,dorastający
adopt,przyjąć
adult,dorosły
advance,postęp
advanced,zaawansowane
advantage,korzyść
adventure,przygoda
advertising,reklama
advice,Rada
advise,doradzać
adviser,doradca
advocate,rzecznik
affair,sprawa
affect,oddziaływać
afford,pozwolić sobie
afraid,przestraszony
African,afrykanin
African-American,Afroamerykański
after,po
afternoon,popołudnie
again,jeszcze raz
against,przeciwko
age,wiek
agency,agencja
agenda,program
agent,agent
aggressive,agresywny
ago,temu
agree,Zgodzić się
agreement,umowa
agricultural,rolniczy
ah,ah
ahead,przed siebie
aid,pomoc
aide,doradca
AIDS,AIDS
aim,cel
air,powietrze
aircraft,samolot
airline,linia lotnicza
airport,Lotnisko
album,album
alcohol,alkohol
alive,żywy
all,wszystko
alliance,Sojusz
allow,dopuszczać
ally,sprzymierzyć
almost,prawie
alone,sam
along,wzdłuż
already,już
also,również
alter,zmieniać
alternative,alternatywny
although,mimo że
always,zawsze
AM,RANO
amazing,niesamowity
American,amerykański
among,pośród
amount,ilość
analysis,analiza
analyst,analityk
analyze,analizować
ancient,starożytny
and,i
anger,gniew
angle,kąt
angry,zły
animal,zwierzę
anniversary,rocznica
announce,ogłosić
annual,roczny
another,inne
answer,odpowiedź
anticipate,przewidywać
anxiety,niepokój
any,każdy
anybody,ktoś
anymore,już
anyone,ktoś
anything,byle co
anyway,tak czy inaczej
anywhere,gdziekolwiek
apart,niezależnie
apartment,apartament
apparent,pozorny
apparently,widocznie
appeal,apel
appear,zjawić się
appearance,wygląd
apple,jabłko
application,podanie
apply,zastosować
appoint,wyznaczać
appointment,spotkanie
appreciate,doceniać
approach,podejście
appropriate,właściwy
approval,zatwierdzenie
approve,zatwierdzać
approximately,w przybliżeniu
Arab,Arab
architect,architekt
area,powierzchnia
argue,kłócić się
argument,argument
arise,powstać
arm,ramię
armed,uzbrojony
army,armia
around,na około
arrange,zorganizować
arrangement,układ
arrest,aresztować
arrival,przyjazd
arrive,przybyć
art,sztuka
article,artykuł
artist,artysta
artistic,artystyczny
as,tak jak
Asian,Azjatycki
aside,na bok
ask,zapytać
asleep,we śnie
aspect,aspekt
assault,atak
assert,zapewniać
assess,oszacować
assessment,oszacowanie
asset,kapitał
assign,przydzielać
assignment,zadanie
assist,wspierać
assistance,wsparcie
assistant,asystent
associate,współpracownik
association,stowarzyszenie
assume,założyć
assumption,założenie
assure,gwarantować
at,w
athlete,sportowiec
athletic,atletyczny
atmosphere,atmosfera
attach,dołączać
attack,atak
attempt,próba
attend,uczęszczać
attention,Uwaga
attitude,postawa
attorney,adwokat
attract,pociągać
attractive,atrakcyjny
attribute,atrybut
audience,publiczność
author,autor
authority,autorytet
auto,automatyczny
available,dostępny
average,średni
avoid,uniknąć
award,nagroda
aware,świadomy
awareness,świadomość
away,z dala
awful,straszny
baby,dziecko
back,plecy
background,tło
bad,zły
badly,źle
bag,torba
bake,piec
balance,saldo
ball,piłka
ban,zakaz
band,zespół muzyczny
bank,Bank
bar,bar
barely,ledwo
barrel,beczka
barrier,bariera
base,baza
baseball,baseball
basic,podstawowy
basically,gruntownie
basis,podstawa
basket,kosz
basketball,Koszykówka
bathroom,łazienka
battery,bateria
battle,bitwa
be,być
beach,plaża
bean,fasola
bear,Niedźwiedź
beat,bić
beautiful,piękny
beauty,piękno
because,bo
become,stają się
bed,łóżko
bedroom,sypialnia
beer,piwo
before,przed
begin,zaczynać
beginning,początek
behavior,zachowanie
behind,za
being,istota
belief,wiara
believe,uwierzyć
bell,dzwon
belong,należeć
below,poniżej
belt,pas
bench,ławka
bend,zakręt
beneath,pod
benefit,zasiłek
beside,oprócz
besides,oprócz
best,Najlepiej
bet,Zakład
better,lepszy
between,pomiędzy
beyond,poza
Bible,Biblia
big,duży
bike,rower
bill,rachunek
billion,miliard
bind,wiązać
biological,biologiczny
bird,ptak
birth,narodziny
birthday,urodziny
bit,kawałek
bite,gryźć
black,czarny
blade,nóż
blame,winić
blanket,koc
blind,ślepy
block,blok
blood,krew
blow,cios
blue,niebieski
board,tablica
boat,łódź
body,ciało
bomb,bomba
bombing,bombardowanie
bond,więź
bone,kość
book,książka
boom,Bum
boot,bagażnik
border,granica
born,urodzony
borrow,pożyczać
boss,szef
both,obie
bother,zawracać głowę
bottle,butelka
bottom,Dolny
boundary,granica
bowl,miska
box,pudełko
boy,chłopak
boyfriend,chłopak
brain,mózg
branch,gałąź
brand,Marka
bread,chleb
break,przerwa
breakfast,śniadanie
breast,pierś
breath,oddech
breathe,oddychać
brick,cegła
bridge,most
brief,krótki
briefly,krótko
bright,jasny
brilliant,znakomity
bring,przynieść
British,brytyjski
broad,szeroki
broken,złamany
brother,brat
brown,brązowy
brush,szczotka
buck,bryknięcie
budget,budżet
build,budować
building,budynek
bullet,kula
bunch,wiązka
burden,obciążenie
burn,palić się
bury,pogrzebać
bus,autobus
business,biznes
busy,zajęty
but,ale
butter,masło
button,przycisk
buy,kupować
buyer,kupujący
by,przez
cabin,kabina
cabinet,gabinet
cable,kabel
cake,ciasto
calculate,obliczać
call,połączenie
camera,aparat fotograficzny
camp,obóz
campaign,kampania
campus,kampus
can,mogą
Canadian,kanadyjski
cancer,nowotwór
candidate,kandydat
cap,czapka z daszkiem
capability,zdolność
capable,zdolny
capacity,Pojemność
capital,kapitał
captain,kapitan
capture,zdobyć
car,samochód
carbon,węgiel
card,karta
care,opieka
career,kariera
careful,ostrożny
carefully,ostrożnie
carrier,nośnik
carry,nieść
case,walizka
cash,gotówka
cast,odlew
cat,kot
catch,łapać
category,Kategoria
Catholic,katolicki
cause,przyczyna
ceiling,sufit
celebrate,świętować
celebration,uroczystość
celebrity,sława
cell,komórka
center,Centrum
central,centralny
century,stulecie
CEO,CEO
ceremony,ceremonia
certain,pewny
certainly,na pewno
chain,łańcuch
chair,krzesło
chairman,przewodniczący
challenge,wyzwanie
chamber,izba
champion,mistrz
championship,mistrzostwo
chance,szansa
change,zmiana
changing,wymiana pieniędzy
channel,kanał
chapter,rozdział
character,postać
characteristic,Charakterystyka
characterize,charakteryzować
charge,opłata
charity,dobroczynność
chart,wykres
chase,pościg
cheap,tani
check,czek
cheek,policzek
cheese,ser
chef,szef kuchni
chemical,chemiczny
chest,Klatka piersiowa
chicken,kurczak
chief,szef
child,dziecko
childhood,dzieciństwo
Chinese,chiński
chip,żeton
chocolate,czekolada
choice,wybór
cholesterol,cholesterol
choose,wybierać
Christian,chrześcijanin
Christmas,Boże Narodzenie
church,kościół
cigarette,papieros
circle,okrąg
circumstance,okoliczność
cite,cytować
citizen,obywatel
city,Miasto
civil,cywilny
civilian,cywil
claim,roszczenie
class,klasa
classic,klasyczny
classroom,klasa
clean,czysty
clear,jasny
clearly,Wyraźnie
client,klient
climate,klimat
climb,wspinać się
clinic,klinika
clinical,kliniczny
clock,zegar
close,blisko
closely,dokładnie
closer,bliższy
clothes,ubranie
clothing,odzież
cloud,Chmura
club,Klub
clue,Wskazówka
cluster,grupa
coach,trener
coal,węgiel
coalition,koalicja
coast,Wybrzeże
coat,płaszcz
code,kod
coffee,Kawa
cognitive,poznawczy
cold,zimno
collapse,zawalić się
colleague,kolega
collect,zebrać
collection,kolekcja
collective,kolektyw
college,Szkoła Wyższa
colonial,kolonialny
color,kolor
column,kolumna
combination,połączenie
combine,połączyć
come,chodź
comedy,komedia
comfort,komfort
comfortable,wygodny
command,dowództwo
commander,dowódca
comment,komentarz
commercial,Reklama w telewizji
commission,komisja
commit,popełnić
commitment,zaangażowanie
committee,komisja
common,pospolity
communicate,komunikować się
communication,komunikacja
community,społeczność
company,firma
compare,porównać
comparison,porównanie
compete,rywalizować
competition,zawody
competitive,konkurencyjny
competitor,konkurent
complain,skarżyć się
complaint,skarga
complete,kompletny
completely,całkowicie
complex,złożony
complicated,skomplikowane
component,składnik
compose,komponować
composition,kompozycja
comprehensive,wszechstronny
computer,komputer
concentrate,koncentrować
concentration,stężenie
concept,pojęcie
concern,dotyczyć
concerned,zaniepokojony
concert,koncert
conclude,wyciągnąć wniosek
conclusion,wniosek
concrete,beton
condition,stan
conduct,postępek
conference,konferencja
confidence,pewność siebie
confident,pewni
confirm,potwierdzać
conflict,konflikt
confront,konfrontować
confusion,zamieszanie
Congress,Kongres
congressional,kongresowy
connect,połączyć
connection,połączenie
consciousness,świadomość
consensus,zgoda
consequence,konsekwencja
conservative,konserwatywny
consider,rozważać
considerable,znaczny
consideration,wynagrodzenie
consist,składać się
consistent,zgodny
constant,stały
constantly,stale
constitute,stanowić
constitutional,konstytucyjny
construct,zbudować
construction,budowa
consultant,konsultant
consume,konsumować
consumer,konsument
consumption,konsumpcja
contact,kontakt
contain,zawierać
container,pojemnik
contemporary,współczesny
content,zadowolony
contest,zawody
context,kontekst
continue,dalej
continued,nieprzerwany
contract,kontrakt
contrast,kontrast
contribute,przyczynić się
contribution,wkład
control,kontrola
controversial,kontrowersyjny
controversy,spór
convention,Konwencja
conventional,standardowy
conversation,rozmowa
convert,konwertować
conviction,przekonanie
convince,przekonać
cook,gotować
cookie,ciastko
cooking,gotowanie
cool,chłodny
cooperation,współpraca
cop,policjant
cope,sprostać
copy,Kopiuj
core,rdzeń
corn,kukurydza
corner,kąt
corporate,zbiorowy
corporation,Korporacja
correct,poprawny
correspondent,korespondent
cost,koszt
cotton,bawełna
couch,sofa
could,mógłby
council,rada
counselor,doradca
count,liczyć
counter,licznik
country,kraj
county,Hrabstwo
couple,para
courage,odwaga
course,kierunek
court,Sąd
cousin,kuzyn
cover,pokrywa
coverage,pokrycie
cow,krowa
crack,pęknięcie
craft,rzemiosło
crash,wypadek
crazy,zwariowany
cream,krem
create,Stwórz
creation,kreacja
creative,twórczy
creature,kreatura
credit,kredyt
crew,załoga
crime,przestępstwo
criminal,kryminalista
crisis,kryzys
criteria,kryteria
critic,krytyk
critical,krytyczny
criticism,krytyka
criticize,krytykować
crop,przyciąć
cross,krzyż
crowd,tłum
crucial,istotny
cry,płakać
cultural,kulturalny
culture,kultura
cup,Puchar
curious,ciekawy
current,obecny
currently,obecnie
curriculum,program
custom,zwyczaj
customer,klient
cut,ciąć
cycle,cykl
dad,tata
daily,codziennie
damage,uszkodzić
dance,taniec
danger,niebezpieczeństwo
dangerous,niebezpieczny
dare,odważyć się
dark,ciemny
darkness,ciemność
data,dane
date,data
daughter,córka
day,dzień
dead,nie żyje
deal,sprawa
dealer,kupiec
dear,drogi
death,śmierć
debate,debata
debt,dług
decade,dekada
decide,decydować się
decision,decyzja
deck,pokład
declare,ogłosić
decline,upadek
decrease,zmniejszać
deep,głęboki
deeply,głęboko
deer,jeleń
defeat,Pokonać
defend,bronić
defendant,pozwany
defense,obrona
defensive,obronny
deficit,deficyt
define,definiować
definitely,Zdecydowanie
definition,definicja
degree,stopień
delay,opóźnienie
deliver,dostarczyć
delivery,dostawa
demand,żądanie
democracy,demokracja
Democrat,Demokrata
democratic,demokratyczny
demonstrate,wykazać
demonstration,demonstracja
deny,zaprzeczać
department,departament
depend,zależeć
dependent,zależny
depending,w zależności
depict,przedstawiać
depression,depresja
depth,głębokość
deputy,zastępca
derive,czerpać
describe,opisać
description,opis
desert,pustynia
deserve,zasłużyć
design,projekt
designer,projektant
desire,pragnienie
desk,biurko
desperate,zdesperowany
despite,pomimo
destroy,zniszczyć
destruction,zniszczenie
detail,Szczegół
detailed,szczegółowe
detect,wykryć
determine,ustalać
develop,rozwijać
developing,rozwijanie
development,rozwój
device,urządzenie
devote,poświęcać
dialogue,dialog
die,umierać
diet,dieta
differ,różnić się
difference,różnica
different,różne
differently,różnie
difficult,trudny
difficulty,trudność
dig,kopać
digital,cyfrowy
dimension,wymiar
dining,jadalnia
dinner,obiad
direct,bezpośredni
direction,kierunek
directly,bezpośrednio
director,dyrektor
dirt,brud
dirty,brudny
disability,inwalidztwo
disagree,nie zgadzać się
disappear,znikać
disaster,katastrofa
discipline,dyscyplina
discourse,rozprawiać
discover,odkryć
discovery,odkrycie
discrimination,dyskryminacja
discuss,omawiać
discussion,dyskusja
disease,choroba
dish,danie
dismiss,oddalić
disorder,nieład
display,pokaz
dispute,Spierać się
distance,dystans
distant,odległy
distinct,odrębny
distinction,różnica
distinguish,rozróżniać
distribute,rozprowadzać
distribution,dystrybucja
district,dzielnica
diverse,różnorodny
diversity,różnorodność
divide,podzielić
division,podział
divorce,rozwód
DNA,DNA
do,zrobić
doctor,lekarz
document,dokument
dog,pies
domestic,krajowy
dominant,dominujący
dominate,zdominować
door,drzwi
double,podwójnie
doubt,wątpić
down,na dół
downtown,śródmieście
dozen,tuzin
draft,wersja robocza
drag,opór
drama,dramat
dramatic,dramatyczny
dramatically,dramatycznie
draw,rysować
drawing,rysunek
dream,śnić
dress,sukienka
drink,drink
drive,napęd
driver,kierowca
drop,upuszczać
drug,narkotyk
dry,suchy
due,z powodu
during,podczas
dust,kurz
duty,obowiązek
each,każdy
eager,chętny
ear,ucho
early,wcześnie
earn,zarabiać
earnings,zyski
earth,Ziemia
ease,łatwość
easily,z łatwością
east,Wschód
eastern,wschodni
easy,łatwo
eat,jeść
economic,gospodarczy
economics,Ekonomia
economist,ekonomista
economy,gospodarka
edge,krawędź
edition,wydanie
editor,redaktor
educate,kształcić
education,Edukacja
educational,edukacyjny
educator,pedagog
effect,efekt
effective,efektywny
effectively,efektywnie
efficiency,wydajność
efficient,wydajny
effort,wysiłek
egg,jajko
eight,osiem
either,zarówno
elderly,Starsi
elect,elekt
election,wybór
electric,elektryczny
electricity,Elektryczność
electronic,elektroniczny
element,element
elementary,podstawowy
eliminate,wyeliminować
elite,elita
else,jeszcze
elsewhere,gdzie indziej
e-mail,e-mail
embrace,uścisk
emerge,pojawić się
emergency,nagły wypadek
emission,emisja
emotion,emocja
emotional,emocjonalny
emphasis,nacisk
emphasize,podkreślać
employ,zatrudniać
employee,pracownik
employer,pracodawca
employment,zatrudnienie
empty,pusty
enable,włączyć
encounter,spotkanie
encourage,zachęcać
end,koniec
enemy,wróg
energy,energia
enforcement,egzekwowanie
engage,angażować
engine,silnik
engineer,inżynier
engineering,Inżynieria
English,język angielski
enhance,wzmacniać
enjoy,cieszyć się
enormous,ogromny
enough,dość
ensure,zapewnić
enter,wchodzić
enterprise,przedsiębiorstwo
entertainment,zabawa
entire,Cały
entirely,całkowicie
entrance,wejście
entry,wejście
environment,środowisko
environmental,środowiskowy
episode,epizod
equal,równy
equally,na równi
equipment,sprzęt
era,era
error,błąd
escape,ucieczka
especially,szczególnie
essay,Praca pisemna
essential,istotny
essentially,głównie
establish,ustalić
establishment,ustanowienie
estate,majątek
estimate,oszacowanie
etc,itp
ethics,etyka
ethnic,etniczny
European,europejski
evaluate,oceniać
evaluation,ocena
even,parzysty
evening,wieczór
event,zdarzenie
eventually,ostatecznie
ever,zawsze
every,każdy
everybody,wszyscy
everyday,codziennie
everyone,każdy
everything,wszystko
everywhere,wszędzie
evidence,dowód
evolution,ewolucja
evolve,ewoluować
exact,dokładny
exactly,dokładnie
examination,badanie
examine,zbadać
example,przykład
exceed,przekraczać
excellent,doskonały
except,z wyjątkiem
exception,wyjątek
exchange,Wymieniać się
exciting,ekscytujący
executive,wykonawczy
exercise,ćwiczenie
exhibit,eksponować
exhibition,wystawa
exist,istnieć
existence,istnienie
existing,istniejący
expand,rozszerzać
expansion,ekspansja
expect,oczekiwać
expectation,oczekiwanie
expense,koszt
expensive,kosztowny
experience,doświadczenie
experiment,eksperyment
expert,ekspert
explain,wyjaśniać
explanation,wyjaśnienie
explode,eksplodować
explore,badać
explosion,eksplozja
expose,expose
exposure,ekspozycja
express,wyrazić
expression,wyrażenie
extend,poszerzać
extension,rozbudowa
extensive,rozległy
extent,stopień
external,zewnętrzny
extra,dodatkowy
extraordinary,niezwykły
extreme,skrajny
extremely,niezwykle
eye,oko
fabric,tkanina
face,Twarz
facility,obiekt
fact,fakt
factor,czynnik
factory,fabryka
faculty,Wydział
fade,blaknąć
fail,zawieść
failure,niepowodzenie
fair,targi
fairly,dość
faith,wiara
fall,spadek
false,fałszywy
familiar,znajomy
family,rodzina
famous,sławny
fan,wentylator
fantasy,Fantazja
far,daleko
farm,gospodarstwo rolne
farmer,rolnik
fashion,moda
fast,szybki
fat,gruby
fate,los
father,ojciec
fault,wina
favor,przysługa
favorite,ulubiony
fear,strach
feature,cecha
federal,federalny
fee,opłata
feed,karmić
feel,czuć
feeling,uczucie
fellow,facet
female,Płeć żeńska
fence,płot
few,mało
fewer,mniej
fiber,błonnik
fiction,fikcja
field,pole
fifteen,piętnaście
fifth,piąty
fifty,pięćdziesiąt
fight,walka
fighter,wojownik
fighting,walczący
figure,postać
file,plik
fill,napełnić
film,film
final,finał
finally,Wreszcie
finance,finanse
financial,budżetowy
find,odnaleźć
finding,odkrycie
fine,w porządku
finger,palec
finish,koniec
fire,ogień
firm,firma
first,pierwszy
fish,ryba
fishing,Wędkarstwo
fit,dopasowanie
fitness,zdatność
five,pięć
fix,naprawić
flag,flaga
flame,płomień
flat,mieszkanie
flavor,smak
flee,uciec
flesh,ciało
flight,lot
float,pływak
floor,piętro
flow,pływ
flower,kwiat
fly,latać
focus,skupiać
folk,Ludowy
follow,śledzić
following,następujący
food,jedzenie
foot,stopa
football,piłka nożna
for,dla
force,siła
foreign,obcy
forest,las
forever,na zawsze
forget,zapomnieć
form,Formularz
formal,formalny
formation,tworzenie
former,były
formula,formuła
forth,naprzód
fortune,fortuna
forward,Naprzód
found,uznany
foundation,Fundacja
founder,założyciel
four,cztery
fourth,czwarty
frame,rama
framework,struktura
free,wolny
freedom,wolność
freeze,zamrażać
French,Francuski
frequency,częstotliwość
frequent,częsty
frequently,często
fresh,świeży
friend,przyjaciel
friendly,przyjazny
friendship,przyjaźń
from,od
front,z przodu
fruit,owoc
frustration,udaremnienie
fuel,paliwo
full,pełny
fully,całkowicie
fun,zabawa
function,funkcjonować
fund,fundusz
fundamental,fundamentalny
funding,finansowanie
funeral,pogrzeb
funny,zabawny
furniture,meble
furthermore,Ponadto
future,przyszłość
gain,zdobyć
galaxy,galaktyka
gallery,Galeria
game,gra
gang,banda
gap,luka
garage,garaż
garden,ogród
garlic,czosnek
gas,gaz
gate,brama
gather,zbierać
gay,wesoły
gaze,spojrzenie
gear,koło zębate
gender,płeć
gene,gen
general,generał
generally,ogólnie
generate,Generować
generation,generacja
genetic,genetyczny
gentleman,pan
gently,łagodnie
German,Niemiecki
gesture,gest
get,otrzymać
ghost,duch
giant,ogromny
gift,prezent
gifted,utalentowany
girl,dziewczyna
girlfriend,dziewczyna
give,dać
given,dany
glad,zadowolony
glance,spojrzenie
glass,szkło
global,światowy
glove,rękawica
go,udać się
goal,cel
God,Bóg
gold,złoto
golden,złoty
golf,golf
good,dobry
government,rząd
governor,gubernator
grab,chwycić
grade,stopień
gradually,stopniowo
graduate,ukończyć
grain,ziarno
grand,wielki
grandfather,Dziadek
grandmother,babcia
grant,dotacja
grass,trawa
grave,grób
gray,szary
great,wspaniały
greatest,największy
green,Zielony
grocery,sklep spożywczy
ground,ziemia
group,Grupa
grow,rosnąć
growing,rozwój
growth,wzrost
guarantee,gwarancja
guard,strzec
guess,odgadnąć
guest,Gość
guide,przewodnik
guideline,wytyczna
guilty,winny
gun,pistolet
guy,chłopak
habit,nawyk
habitat,siedlisko
hair,włosy
half,pół
hall,hol
hand,dłoń
handful,garść
handle,uchwyt
hang,powiesić
happen,zdarzyć
happy,szczęśliwy
hard,ciężko
hardly,ledwie
hat,kapelusz
hate,nienawidzić
have,mieć
he,on
head,głowa
headline,nagłówek
headquarters,główna siedziba
health,zdrowie
healthy,zdrowy
hear,słyszeć
hearing,przesłuchanie
heart,serce
heat,ciepło
heaven,niebo
heavily,ciężko
heavy,ciężki
heel,obcas
height,wysokość
helicopter,śmigłowiec
hell,piekło
hello,cześć
help,Wsparcie
helpful,pomocny
her,jej
here,tutaj
heritage,dziedzictwo
hero,bohater
herself,się
hey,Hej
hi,cześć
hide,ukryć
high,wysoki
highlight,atrakcja
highly,wysoko
highway,Autostrada
hill,wzgórze
him,mu
himself,samego siebie
hip,cześć p
hire,zatrudnić
his,jego
historian,historyk
historic,historyczny
historical,historyczny
history,historia
hit,trafienie
hold,utrzymać
hole,otwór
holiday,święto
holy,święty
home,Dom
homeless,bezdomny
honest,szczery
honey,kochanie
honor,honor
hope,nadzieja
horizon,horyzont
horror,przerażenie
horse,koń
hospital,szpital
host,gospodarz
hot,gorąco
hotel,hotel
hour,godzina
house,dom
household,gospodarstwo domowe
housing,mieszkaniowy
how,w jaki sposób
however,jednak
huge,olbrzymi
human,człowiek
humor,humor
hundred,sto
hungry,głodny
hunter,Łowca
hunting,polowanie
hurt,ból
husband,mąż
hypothesis,hipoteza
I,ja
ice,lód
idea,pomysł
ideal,ideał
identification,identyfikacja
identify,zidentyfikować
identity,tożsamość
ie,to znaczy
if,gdyby
ignore,ignorować
ill,chory
illegal,nielegalny
illness,choroba
illustrate,zilustrować
image,obraz
imagination,wyobraźnia
imagine,wyobrażać sobie
immediate,natychmiastowy
immediately,natychmiast
immigrant,imigrant
immigration,imigracja
impact,wpływ
implement,wprowadzić w życie
implication,implikacja
imply,sugerować
importance,znaczenie
important,ważny
impose,narzucać
impossible,niemożliwy
impress,imponować
impression,wrażenie
impressive,imponujący
improve,ulepszać
improvement,poprawa
in,w
incentive,zachęta
incident,incydent
include,zawierać
including,włącznie z
income,dochód
incorporate,włączać
increase,zwiększać
increased,zwiększony
increasing,wzrastający
increasingly,coraz bardziej
incredible,niesamowite
indeed,w rzeczy samej
independence,niezależność
independent,niezależny
index,indeks
Indian,indyjski
indicate,wskazać
indication,wskazanie
individual,indywidualny
industrial,przemysłowy
industry,przemysł
infant,Dziecko
infection,infekcja
inflation,inflacja
influence,wpływ
inform,poinformować
information,Informacja
ingredient,składnik
initial,Inicjał
initially,początkowo
initiative,inicjatywa
injury,zranienie
inner,wewnętrzny
innocent,niewinny
inquiry,zapytanie ofertowe
inside,wewnątrz
insight,wgląd
insist,obstawać
inspire,inspirować
install,zainstalować
instance,instancja
instead,zamiast
institution,instytucja
institutional,instytucjonalny
instruction,instrukcja
instructor,instruktor
instrument,instrument
insurance,ubezpieczenie
intellectual,intelektualny
intelligence,inteligencja
intend,zamierzać
intense,intensywny
intensity,intensywność
intention,zamiar
interaction,interakcja
interest,zainteresowanie
interested,zainteresowany
interesting,ciekawy
internal,wewnętrzny
international,międzynarodowy
Internet,Internet
interpret,interpretować
interpretation,interpretacja
intervention,interwencja
interview,wywiad
into,w
introduce,przedstawiać
introduction,wprowadzenie
invasion,inwazja
invest,inwestować
investigate,zbadać
investigation,dochodzenie
investigator,badacz
investment,inwestycja
investor,inwestor
invite,Zapraszam
involve,angażować
involved,zaangażowany
involvement,uwikłanie
Iraqi,iracki
Irish,Irlandczyk
iron,żelazo
Islamic,islamski
island,wyspa
Israeli,izraelski
issue,kwestia
it,to
Italian,Włoski
item,pozycja
its,jego
itself,samo
jacket,kurtka
jail,więzienie
Japanese,język japoński
jet,strumień
Jew,Żyd
Jewish,żydowski
job,praca
join,Przystąpić
joint,połączenie
joke,żart
journal,dziennik
journalist,dziennikarz
journey,podróż
joy,radość
judge,sędzia
judgment,osąd
juice,sok
jump,skok
junior,junior
jury,jury
just,właśnie
justice,sprawiedliwość
justify,uzasadniać
keep,trzymać
key,klawisz
kick,kopnięcie
