abandon,porzucić
kid,dziecko
kill,zabić
killer,zabójca
killing,zabicie
kind,uprzejmy
king,król
kiss,pocałunek
kitchen,kuchnia
knee,kolano
knife,nóż
knock,pukanie
know,wiedzieć
knowledge,"wiedza, umiejętności"
lab,laboratorium
label,etykieta
labor,praca
laboratory,laboratorium
lack,brak
lady,dama
lake,jezioro
land,wylądować
landscape,krajobraz
language,język
lap,podołek
large,duży
largely,w dużej mierze
last,"ostatni, ubiegły, zeszły"
late,późno
later,później
Latin,łacina
latter,drugi
laugh,śmiech
launch,uruchomić
law,prawo
lawn,trawnik
lawsuit,pozew sądowy
lawyer,prawnik
lay,kłaść
layer,warstwa
lead,prowadzić
leader,lider
leadership,przywództwo
leading,prowadzący
leaf,liść
league,liga
lean,pochylać się
learn,uczyć się
learning,uczenie się
least,najmniej
leather,Skórzany
leave,pozostawiać
left,lewo
leg,noga
legacy,dziedzictwo
legal,prawny
legend,legenda
legislation,ustawodawstwo
legitimate,prawowity
lemon,cytrynowy
length,długość
less,mniej
lesson,lekcja
let,pozwolić
letter,list
level,poziom
liberal,liberał
library,biblioteka
license,licencja
lie,kłamstwo
life,życie
lifestyle,styl życia
lifetime,dożywotni
lift,winda
light,lekki
like,lubić
likely,prawdopodobne
limit,limit
limitation,ograniczenie
limited,ograniczony
line,linia
link,połączyć
lip,warga
list,lista
listen,słuchać
literally,dosłownie
literary,literacki
literature,literatura
little,mało
live,relacja na żywo
living,życie
load,obciążenie
loan,pożyczka
local,lokalny
locate,Znajdź
location,Lokalizacja
lock,zamek
long,długie
long-term,długoterminowy
look,Popatrz
loose,luźny
lose,stracić
loss,utrata
lost,Stracony
lot,los
lots,dużo
loud,głośny
love,miłość
lovely,śliczny
lover,kochanek
low,Niska
lower,niższy
luck,szczęście
lucky,Szczęściarz
lunch,lunch
lung,płuco
machine,maszyna
mad,szalony
magazine,czasopismo
mail,Poczta
main,Główny
mainly,głównie
maintain,utrzymać
maintenance,konserwacja
major,poważny
majority,większość
make,robić
maker,producent
makeup,makijaż
male,męski
mall,centrum handlowe
man,człowiek
manage,zarządzanie
management,zarządzanie
manager,menedżer
manner,sposób
manufacturer,producent
manufacturing,produkcja
many,wiele
map,mapa
margin,margines
mark,znak
market,rynek
marketing,marketing
marriage,małżeństwo
married,żonaty
marry,ożenić
mask,maska
mass,masa
massive,masywny
master,mistrz
match,mecz
material,materiał
math,matematyka
matter,materia
may,może
maybe,może
mayor,burmistrz
me,mnie
meal,posiłek
mean,oznaczać
meaning,znaczenie
meanwhile,W międzyczasie
measure,zmierzyć
measurement,pomiary
meat,mięso
mechanism,mechanizm
media,głoska bezdźwięczna
medical,medyczny
medication,lek
medicine,lekarstwo
medium,średni
meet,spotykać się
meeting,spotkanie
member,członek
membership,członkostwo
memory,pamięć
mental,psychiczny
mention,wzmianka
menu,menu
mere,sam
merely,jedynie
mess,bałagan
message,wiadomość
metal,metal
meter,metr
method,metoda
Mexican,Meksykańska
middle,środkowy
might,moc
military,wojskowy
milk,mleko
million,milion
mind,umysł
mine,kopalnia
minister,minister
minor,mniejszy
minority,mniejszość
minute,minuta
miracle,cud
mirror,lustro
miss,tęsknić
missile,pocisk
mission,misja
mistake,błąd
mix,mieszać
mixture,mieszanina
mm-hmm,mm-hmm
mode,tryb
model,Model
moderate,umiarkowany
modern,nowoczesny
modest,skromny
mom,mama
moment,za chwilę
money,pieniądze
monitor,monitor
month,miesiąc
mood,nastrój
moon,księżyc
moral,morał
more,jeszcze
moreover,co więcej
morning,ranek
mortgage,hipoteka
most,większość
mostly,przeważnie
mother,mama
motion,ruch
motivation,motywacja
motor,silnik
mount,uchwyt
mountain,Góra
mouse,mysz
mouth,usta
move,ruszaj się
movement,ruch
movie,film
Mr,Pan
Mrs,Pani
Ms,Ms
much,dużo
multiple,wielokrotność
murder,morderstwo
muscle,mięsień
museum,muzeum
music,muzyka
musical,musical
musician,muzyk
Muslim,muzułmański
must,musi
mutual,wzajemny
my,mój
myself,siebie
mystery,zagadka
myth,mit
naked,nagi
name,Nazwa
narrative,narracja
narrow,wąska
nation,naród
national,krajowy
native,ojczysty
natural,naturalny
naturally,naturalnie
nature,Natura
near,Blisko
nearby,blisko
nearly,prawie
necessarily,koniecznie
necessary,niezbędny
neck,szyja
need,potrzeba
negative,negatywny
negotiate,negocjować
negotiation,negocjacja
neighbor,sąsiad
neighborhood,sąsiedztwo
neither,ani
nerve,nerw
nervous,nerwowy
net,netto
network,sieć
never,nigdy
nevertheless,Niemniej jednak
new,Nowy
newly,nowo
news,Aktualności
newspaper,Gazeta
next,Kolejny
nice,miły
night,noc
nine,dziewięć
no,Nie
nobody,nikt
nod,ukłon
noise,hałas
nomination,nominacja
none,Żaden
nonetheless,niemniej jednak
nor,ani
normal,normalna
normally,normalnie
north,północ
northern,północny
nose,nos
not,nie
note,Uwaga
nothing,nic
notice,ogłoszenie
notion,pojęcie
novel,powieść
now,teraz
nowhere,nigdzie
n't,nie
nuclear,jądrowy
number,numer
numerous,liczny
nurse,pielęgniarka
nut,orzech
object,obiekt
objective,cel
obligation,obowiązek
observation,obserwacja
observe,przestrzegać
observer,obserwator
obtain,uzyskać
obvious,oczywisty
obviously,oczywiście
occasion,okazja
occasionally,sporadycznie
occupation,zawód
occupy,zająć
occur,pojawić się
ocean,ocean
odd,dziwny
odds,szansa
of,z
off,poza
offense,wykroczenie
offensive,ofensywa
offer,oferta
office,gabinet
officer,oficer
official,urzędnik
often,często
oh,O
oil,olej
ok,ok
okay,w porządku
old,stary
Olympic,olimpijski
on,na
once,pewnego razu
one,jeden
ongoing,trwający
onion,cebula
online,online
only,tylko
onto,na
open,otwarty
opening,otwarcie
operate,działać
operating,operacyjny
operation,operacja
operator,operator
opinion,opinia
opponent,przeciwnik
opportunity,okazja
oppose,sprzeciwiać się
opposite,naprzeciwko
opposition,sprzeciw
option,opcja
or,lub
orange,Pomarańczowy
order,zamówienie
ordinary,zwyczajny
organic,organiczny
organization,organizacja
organize,zorganizować
orientation,orientacja
origin,pochodzenie
original,oryginalny
originally,pierwotnie
other,inny
others,inni
otherwise,Inaczej
ought,powinni
our,nasz
ourselves,my sami
out,na zewnątrz
outcome,wynik
outside,na zewnątrz
oven,piekarnik
over,koniec
overall,ogólnie
overcome,przezwyciężać
overlook,przeoczyć
owe,zawdzięczać
own,posiadać
owner,właściciel
pace,tempo
pack,Pakiet
package,pakiet
page,strona
pain,ból
painful,bolesny
paint,farba
painter,malarz
painting,obraz
pair,para
pale,blady
Palestinian,palestyński
palm,Palma
pan,patelnia
panel,płyta
pant,dyszeć
paper,papier
parent,rodzic
park,park
parking,parking
part,część
participant,uczestnik
participate,uczestniczyć
participation,udział
particular,szczególny
particularly,szczególnie
partly,częściowo
partner,partner
partnership,Współpraca
party,przyjęcie
pass,przechodzić
passage,przejście
passenger,pasażer
passion,pasja
past,przeszłość
patch,łata
path,ścieżka
patient,cierpliwy
pattern,wzór
pause,pauza
pay,zapłacić
payment,Zapłata
PC,PC
peace,pokój
peak,szczyt
peer,par
penalty,rzut karny
people,ludzie
pepper,pieprz
per,za
perceive,dostrzec
percentage,odsetek
perception,postrzeganie
perfect,idealny
perfectly,doskonale
perform,wykonać
performance,wydajność
perhaps,być może
period,Kropka
permanent,stały
permission,pozwolenie
permit,pozwolić
person,osoba
personal,osobisty
personality,osobowość
personally,osobiście
personnel,personel
perspective,perspektywiczny
persuade,namawiać
pet,zwierzę domowe
phase,faza
phenomenon,zjawisko
philosophy,filozofia
phone,telefon
photo,zdjęcie
photograph,fotografia
photographer,fotograf
phrase,wyrażenie
physical,fizyczny
physically,fizycznie
physician,Lekarz
piano,fortepian
pick,wybierać
picture,obrazek
pie,ciasto
piece,kawałek
pile,stos
pilot,pilot
pine,sosna
pink,różowy
pipe,rura
pitch,smoła
place,miejsce
plan,plan
plane,samolot
planet,planeta
planning,planowanie
plant,roślina
plastic,Plastikowy
plate,talerz
platform,Platforma
play,grać
player,gracz
please,Proszę
pleasure,przyjemność
plenty,dużo
plot,wątek
plus,plus
PM,PO POŁUDNIU
pocket,kieszeń
poem,wiersz
poet,poeta
poetry,poezja
point,punkt
pole,Polak
police,Policja
policy,polityka
political,polityczny
politically,politycznie
politician,polityk
politics,Polityka
poll,głosowanie
pollution,skażenie
pool,basen
poor,ubogi
pop,Muzyka pop
popular,popularny
population,populacja
porch,ganek
port,Port
portion,część
portrait,portret
portray,przedstawiać
pose,poza
position,pozycja
positive,pozytywny
possess,posiadać
possibility,możliwość
possible,możliwy
possibly,możliwie
post,stanowisko
pot,garnek
potato,Ziemniak
potential,potencjał
potentially,potencjalnie
pound,funt
pour,wlać
poverty,ubóstwo
powder,proszek
power,moc
powerful,potężny
practical,praktyczny
practice,ćwiczyć
pray,modlić się
prayer,modlitwa
precisely,dokładnie
predict,"przepowiadać, wywróżyć"
prefer,woleć
preference,pierwszeństwo
pregnancy,ciąża
pregnant,w ciąży
preparation,przygotowanie
prepare,przygotować
prescription,recepta
presence,obecność
present,obecny
presentation,prezentacja
preserve,zachować
president,prezydent
presidential,prezydencki
press,naciśnij
pressure,nacisk
pretend,stwarzać pozory
pretty,ładny
prevent,zapobiec
previous,poprzedni
previously,poprzednio
price,Cena £
pride,duma
priest,kapłan
primarily,głównie
primary,podstawowa
prime,główny
principal,dyrektor
principle,zasada
print,wydrukować
prior,wcześniejszy
priority,priorytet
prison,więzienie
prisoner,więzień
privacy,Prywatność
private,prywatny
probably,prawdopodobnie
problem,problem
procedure,procedura
proceed,kontynuować
process,proces
produce,produkować
producer,producent
product,produkt
production,produkcja
profession,zawód
professional,profesjonalny
professor,profesor
profile,profil
profit,zysk
program,program
progress,postęp
project,projekt
prominent,wybitny
promise,obietnica
promote,promować
prompt,skłonić
proof,dowód
proper,właściwy
properly,prawidłowo
property,własność
proportion,proporcja
proposal,wniosek
propose,zaproponować
proposed,proponowane
prosecutor,prokurator
prospect,perspektywa
protect,ochraniać
protection,ochrona
protein,białko
protest,protest
proud,dumny
prove,okazać się
provide,zapewniać
provider,dostawca
province,województwo
provision,zaopatrzenie
psychological,psychologiczny
psychologist,psycholog
psychology,psychologia
public,publiczny
publication,opublikowanie
publicly,publicznie
publish,publikować
publisher,wydawca
pull,Ciągnąć
punishment,kara
purchase,zakup
pure,czysty
purpose,"cel, powód"
pursue,kontynuować
push,Pchać
put,położyć
qualify,zakwalifikować
quality,jakość
quarter,jedna czwarta
quarterback,rozgrywający
question,pytanie
quick,szybki
quickly,szybko
quiet,cichy
quietly,cicho
quit,porzucić
quite,całkiem
quote,zacytować
race,wyścigi
racial,rasowy
radical,rodnik
radio,radio
rail,szyna
rain,deszcz
raise,podnieść
range,zasięg
rank,ranga
rapid,szybki
rapidly,szybko
rare,rzadko spotykany
rarely,rzadko
rate,oceniać
rather,raczej
rating,ocena
ratio,stosunek
raw,surowy
reach,dosięgnąć
react,reagować
reaction,reakcja
read,czytać
reader,czytelnik
reading,czytanie
ready,gotowy
real,real
reality,rzeczywistość
realize,realizować
really,naprawdę
reason,powód
reasonable,rozsądny
recall,odwołanie
receive,otrzymać
recent,niedawny
recently,niedawno
recipe,Przepis
recognition,uznanie
recognize,rozpoznać
recommend,polecić
recommendation,zalecenie
record,rekord
recording,nagranie
recover,wyzdrowieć
recovery,poprawa
recruit,rekrut
red,czerwony
reduce,zmniejszyć
reduction,zmniejszenie
refer,odnosić się
reference,odniesienie
reflect,odzwierciedlić
reflection,odbicie
reform,reforma
refugee,uchodźca
refuse,odrzucać
regard,wzgląd
regarding,Jeżeli chodzi o
regardless,bez względu
regime,reżim
region,region
regional,regionalny
register,zarejestrować
regular,regularny
regularly,regularnie
regulate,regulować
regulation,regulacja
reinforce,wzmacniać
reject,odrzucać
relate,odnosić się
relation,relacja
relationship,związek
relative,krewny
relatively,stosunkowo
relax,zrelaksować się
release,wydanie
relevant,istotnych
relief,ulga
religion,religia
religious,religijny
rely,polegać
remain,pozostawać
remaining,pozostały
remarkable,znakomity
remember,Zapamiętaj
remind,przypominać
remote,zdalny
remove,usunąć
repeat,powtarzać
repeatedly,wielokrotnie
replace,zastąpić
reply,Odpowiadać
report,raport
reporter,reporter
represent,przedstawiać
representation,reprezentacja
representative,przedstawiciel
Republican,Republikański
reputation,reputacja
request,żądanie
require,wymagać
requirement,wymaganie
research,Badania
researcher,badacz
resemble,przypominać
reservation,rezerwacja
resident,Mieszkaniec
resist,opierać się
resistance,odporność
resolution,rozkład
resolve,rozwiązać
resort,Ośrodek wczasowy
resource,ratunek
respect,Poszanowanie
respond,odpowiadać
respondent,pozwany
response,odpowiedź
responsibility,odpowiedzialność
responsible,odpowiedzialny
rest,odpoczynek
restaurant,restauracja
restore,przywracać
restriction,ograniczenie
result,wynik
retain,zachować
retire,przejść na emeryturę
retirement,przejście na emeryturę
return,powrót
reveal,odsłonić
revenue,dochód
review,przejrzeć
revolution,rewolucja
rhythm,rytm
rice,Ryż
rich,bogaty
rid,pozbyć się
ride,jazda
rifle,karabin
right,dobrze
ring,pierścień
rise,wzrost
risk,ryzyko
river,rzeka
road,Droga
rock,skała
role,rola
roll,rolka
romantic,romantyczny
roof,dach
room,pokój
root,korzeń
rope,lina
rose,Róża
rough,szorstki
roughly,w przybliżeniu
round,okrągły
route,trasa
routine,rutyna
row,rząd
rub,pocierać
rule,reguła
run,biegać
running,bieganie
rural,wiejski
rush,pośpiech
Russian,Rosyjski
sacred,poświęcony
sad,smutny
safe,bezpieczny
safety,bezpieczeństwo
sake,wzgląd
salad,Sałatka
salary,wynagrodzenie
sale,sprzedaż
sales,obroty
salt,Sól
same,podobnie
sample,próba
sanction,sankcja
sand,piasek
satellite,satelita
satisfaction,zadowolenie
satisfy,usatysfakcjonować
sauce,sos
save,zapisać
saving,oszczędność
say,mówić
scale,skala
scandal,skandal
scared,przerażony
scenario,scenariusz
scene,scena
schedule,harmonogram
scheme,schemat
scholar,uczony
scholarship,stypendium
school,szkoła
science,nauka
scientific,naukowy
scientist,naukowiec
scope,zakres
score,wynik
scream,krzyk
screen,ekran
script,scenariusz
sea,morze
search,Szukaj
season,pora roku
seat,siedzenie
second,druga
secret,sekret
secretary,sekretarz
section,Sekcja
sector,sektor
secure,bezpieczne
security,bezpieczeństwo
see,widzieć
seed,nasionko
seek,szukać
seem,wydać się
segment,człon
seize,chwycić
select,Wybierz
selection,wybór
self,samego siebie
sell,Sprzedać
Senate,Senat
senator,senator
send,wysłać
senior,senior
sense,sens
sensitive,wrażliwy
sentence,zdanie
separate,oddzielny
sequence,sekwencja
series,seria
serious,poważny
seriously,poważnie
serve,obsługiwać
service,usługa
session,sesja
set,zestaw
setting,oprawa
settle,rozstrzygać
settlement,osada
seven,siedem
several,kilka
severe,silny
sex,seks
sexual,seksualny
shade,cień
shadow,cień
shake,potrząsnąć
shall,powinien
shape,kształt
share,dzielić
sharp,ostry
she,Ona
sheet,arkusz
shelf,półka
shell,muszla
shelter,schron
shift,przesunięcie
shine,blask
ship,statek
shirt,koszula
shit,gówno
shock,zaszokować
shoe,but
shoot,strzelać
shooting,strzelanie
shop,sklep
shopping,zakupy
shore,Wybrzeże
short,krótki
shortly,wkrótce
shot,strzał
should,powinien
shoulder,ramię
shout,krzyczeć
show,pokazać
shower,prysznic
shrug,wzruszać ramionami
shut,zamknąć
sick,chory
side,bok
sigh,westchnienie
sight,widok
sign,znak
signal,sygnał
significance,znaczenie
significant,znaczący
significantly,znacząco
silence,cisza
silent,cichy
silver,srebro
similar,podobny
similarly,podobnie
simple,prosty
simply,po prostu
sin,grzech
since,od
sing,śpiewać
singer,piosenkarz
single,pojedynczy
sink,tonąć
sir,Pan
sister,siostra
sit,siedzieć
site,teren
situation,sytuacja
six,sześć
size,rozmiar
ski,narty
skill,umiejętność
skin,skóra
sky,niebo
slave,niewolnik
sleep,sen
slice,kawałek
slide,ślizgać się
slight,niewielki
slightly,nieco
slip,poślizg
slow,powolny
slowly,powoli
small,mały
smart,mądry
smell,zapach
smile,uśmiech
smoke,palić
smooth,gładki
snap,kłapnięcie
snow,śnieg
so,więc
so-called,tak zwana
soccer,piłka nożna
social,społeczny
society,społeczeństwo
soft,miękki
software,oprogramowanie
soil,gleba
solar,słoneczny
soldier,żołnierz
solid,solidny
solution,rozwiązanie
solve,rozwiązać
some,trochę
somebody,ktoś
somehow,jakoś
someone,ktoś
something,coś
sometimes,czasami
somewhat,nieco
somewhere,gdzieś
son,syn
song,piosenka
soon,wkrótce
sophisticated,wyrafinowany
sorry,Przepraszam
sort,sortować
soul,dusza
sound,dźwięk
soup,zupa
source,źródło
south,południe
southern,południowy
Soviet,radziecki
space,przestrzeń
Spanish,hiszpański
speak,mówić
speaker,głośnik
special,specjalny
specialist,specjalista
species,gatunki
specific,konkretny
specifically,konkretnie
speech,przemówienie
speed,prędkość
spend,wydać
spending,wydatki
spin,spin
spirit,duch
spiritual,duchowy
split,rozdzielać
spokesman,rzecznik
sport,sport
spot,miejsce
spread,rozpiętość
spring,wiosna
square,plac
squeeze,ściskać
stability,stabilność
stable,stabilny
staff,personel
stage,etap
stair,schodek
stake,stawka
stand,stoisko
standard,standard
standing,na stojąco
star,gwiazda
stare,gapić się
start,początek
state,stan
statement,komunikat
station,stacja
statistics,Statystyka
status,status
stay,zostać
steady,stały
steal,kraść
steel,stal
step,krok
stick,kij
still,nadal
stir,wymieszać
stock,Zbiory
stomach,żołądek
stone,kamień
stop,zatrzymać
storage,przechowywanie
store,sklep
storm,burza
story,fabuła
straight,proste
strange,dziwne
stranger,nieznajomy
strategic,strategiczny
strategy,strategia
stream,strumień
street,ulica
strength,siła
strengthen,wzmacniać
stress,naprężenie
stretch,rozciągać
strike,strajk
string,strunowy
strip,rozebrać się
stroke,uderzenie
strong,silny
strongly,silnie
structure,Struktura
struggle,borykać się
student,student
studio,studio
study,badanie
stuff,rzeczy
stupid,głupi
style,styl
subject,Przedmiot
submit,Zatwierdź
subsequent,kolejny
substance,substancja
substantial,znaczny
succeed,osiągnąć sukces
success,powodzenie
successful,odnoszący sukcesy
successfully,z powodzeniem
such,taki
sudden,nagły
suddenly,nagle
sue,pozwać
suffer,ponieść
sufficient,wystarczający
sugar,cukier
suggest,sugerować
suggestion,sugestia
suicide,samobójstwo
suit,garnitur
summer,lato
summit,szczyt
sun,słońce
super,Wspaniały
supply,Dostawa
support,wsparcie
supporter,kibic
suppose,przypuszczać
supposed,domniemany
Supreme,Najwyższy
sure,pewnie
surely,pewno
surface,powierzchnia
surgery,Chirurgia
surprise,niespodzianka
surprised,zaskoczony
surprising,zaskakujący
surprisingly,zaskakująco
surround,otaczać
survey,Ankieta
survival,przetrwanie
survive,przetrwać
survivor,niedobitek
suspect,posądzać
sustain,ponieść
swear,przysięgać
sweep,zamiatać
sweet,Słodkie
swim,pływać
swing,huśtawka
switch,przełącznik
symbol,symbol
symptom,objaw
system,system
table,stół
tablespoon,łyżka
tactic,taktyka
tail,ogon
take,brać
tale,opowieść
talent,talent
talk,rozmowa
tall,wysoki
tank,czołg
tap,kran
tape,taśma
target,cel
task,zadanie
taste,smak
tax,podatek
taxpayer,podatnik
tea,herbata
teach,nauczać
teacher,nauczyciel
teaching,nauczanie
team,zespół
tear,łza
teaspoon,łyżeczka
technical,techniczny
technique,technika
technology,technologia
teen,nastolatków
teenager,nastolatek
telephone,telefon
telescope,teleskop
television,telewizja
tell,powiedzieć
temperature,temperatura
temporary,chwilowy
ten,dziesięć
tend,zmierzać
tendency,tendencja
tennis,tenis
tension,napięcie
tent,namiot
term,semestr
terms,warunki
terrible,straszny
territory,terytorium
terror,terror
terrorism,terroryzm
terrorist,terrorysta
test,test
testify,świadczyć
testimony,świadectwo
testing,testowanie
text,tekst
than,niż
thank,podziękować
thanks,dzięki
that,że
theater,teatr
their,ich
them,im
theme,motyw
themselves,sami
then,następnie
theory,teoria
therapy,terapia
there,tam
therefore,w związku z tym
these,te
they,one
thick,gruby
thin,cienki
thing,rzecz
think,myśleć
thinking,myślący
third,trzeci
thirty,trzydzieści
this,to
those,te
though,chociaż
thought,myśl
thousand,tysiąc
threat,zagrożenie
threaten,grozić
three,trzy
throat,gardło
through,przez
throughout,poprzez
throw,rzucać
thus,a zatem
ticket,bilet
tie,wiązanie
tight,mocno
time,czas
tiny,malutki
tip,Wskazówka
tire,opona
tired,zmęczony
tissue,papierowa chusteczka
title,tytuł
to,do
tobacco,tytoń
today,dzisiaj
toe,palec u nogi
together,razem
tomato,pomidor
tomorrow,jutro
tone,ton
tongue,język
tonight,dzisiejszej nocy
too,także
tool,narzędzie
tooth,ząb
top,Top
topic,temat
toss,podrzucenie
total,całkowity
totally,całkowicie
touch,dotknąć
tough,twardy
tour,wycieczka
tourist,turysta
tournament,Turniej
toward,w kierunku
towards,w kierunku
tower,wieża
town,miasto
toy,zabawka
trace,ślad
track,tor
trade,handel
tradition,tradycja
traditional,tradycyjny
traffic,ruch drogowy
tragedy,tragedia
trail,ślad
train,pociąg
training,trening
transfer,transfer
transform,przekształcać
transformation,transformacja
transition,przejście
translate,Tłumaczyć
transportation,transport
travel,podróżować
treat,leczyć
treatment,leczenie
treaty,traktat
tree,drzewo
tremendous,ogromny
trend,tendencja
trial,próba
tribe,plemię
trick,sztuczka
trip,wycieczka
troop,stado
trouble,kłopot
truck,ciężarówka
true,prawdziwe
truly,naprawdę
trust,zaufanie
truth,prawda
try,próbować
tube,rura
tunnel,tunel
turn,skręcać
TV,telewizja
twelve,dwanaście
twenty,20
twice,dwa razy
twin,bliźniak
two,dwa
type,rodzaj
typical,typowy
typically,zwykle
ugly,brzydki
ultimate,ostateczny
ultimately,ostatecznie
unable,niezdolny
uncle,wujek
under,pod
undergo,przejść
understand,Rozumiesz
understanding,zrozumienie
unfortunately,Niestety
uniform,mundur
union,unia
unique,wyjątkowy
unit,jednostka
United,Zjednoczony
universal,uniwersalny
universe,wszechświat
university,Uniwersytet
unknown,nieznany
unless,chyba że
unlike,w odróżnieniu
unlikely,mało prawdopodobne
until,aż do
unusual,niezwykły
up,w górę
upon,na
upper,górny
urban,miejski
urge,popęd
us,nas
use,posługiwać się
used,używany
useful,przydatny
user,użytkownik
usual,zwykły
usually,zazwyczaj
utility,użyteczność
vacation,wakacje
valley,dolina
valuable,cenny
value,wartość
variable,zmienna
variation,zmiana
variety,różnorodność
various,różnorodny
vary,różnią się
vast,ogromny
vegetable,warzywo
vehicle,pojazd
venture,przedsięwzięcie
version,wersja
versus,przeciw
very,bardzo
vessel,naczynie
veteran,weteran
via,przez
victim,ofiara
victory,zwycięstwo
video,wideo
view,widok
viewer,widz
village,wioska
violate,naruszać
violation,naruszenie
violence,przemoc
violent,gwałtowny
virtually,wirtualnie
virtue,cnota
virus,wirus
visible,widoczny
vision,wizja
visit,odwiedzić
visitor,gość
visual,wizualny
vital,istotny
voice,głos
volume,Tom
volunteer,wolontariusz
vote,głosować
voter,wyborca
vs,vs
vulnerable,wrażliwy
wage,gaża
wait,czekać
wake,budzić
walk,spacerować
wall,Ściana
wander,zbłądzić
want,chcieć
war,wojna
warm,ciepły
warn,ostrzec
warning,ostrzeżenie
wash,myć się
waste,marnotrawstwo
watch,zegarek
water,woda
wave,fala
way,droga
we,my
weak,słaby
wealth,bogactwo
wealthy,zamożny
weapon,broń
wear,nosić
weather,pogoda
wedding,ślub
week,tydzień
weekend,weekend
weekly,co tydzień
weigh,ważyć
weight,waga
welcome,Witamy
welfare,dobrobyt
well,dobrze
west,Zachód
western,western
wet,mokro
what,co
whatever,cokolwiek
wheel,koło
when,gdy
whenever,kiedy tylko
where,gdzie
whereas,natomiast
whether,czy
which,który
while,podczas
whisper,szept
white,biały
who,kto
whole,cały
whom,kogo
whose,którego
why,czemu
wide,szeroki
widely,szeroko
widespread,rozpowszechniony
wife,żona
wild,dziki
will,będzie
willing,skłonny
win,zdobyć
wind,wiatr
window,okno
wine,wino
wing,skrzydło
winner,zwycięzca
winter,zimowy
wipe,wycierać
wire,drut
wisdom,mądrość
wise,mądry
wish,życzenie
with,z
withdraw,wycofać
within,w ciągu
without,bez
witness,świadek
woman,kobieta
wonder,cud
wonderful,wspaniale
wood,drewno
wooden,drewniany
word,słowo
work,praca
worker,pracownik
working,pracujący
works,Prace
workshop,warsztat
world,świat
worried,zmartwiony
worry,martwić się
worth,wartość
would,by
wound,rana
wrap,owinąć
write,pisać
writer,pisarz
writing,pisanie
wrong,źle
yard,dziedziniec
yeah,Tak
year,rok
yell,krzyk
yellow,żółty
yes,tak
yesterday,wczoraj
yet,jeszcze
yield,wydajność
you,ty
young,młody
your,Twój
yours,Twój
yourself,siebie
youth,młodość
zone,strefa
